a;a;a;a;a;a;;;;0.04
b;b;b;b;b;b;;;;
x; q*1000 ; l ; d ; D ; N ; S ; C ; M ; R 
0;4.18;10,000,000;41,800;10000000;330,912,654;8,757,472,300;40,780;1,928,960;117,315,769
1;1.07;9,958,200;10,655;9715317.073;320,912,654;8,426,559,646;10,142;1,888,179;115,386,809
2;0.99;9,947,545;9,848;9468216.538;311,197,337;8,105,646,992;9,145;1,878,038;113,498,630
3;0.98;9,937,697;9,739;9228139.58;301,729,120;7,794,449,655;8,823;1,868,893;111,620,592
4;0.95;9,927,958;9,432;8994239.952;292,500,981;7,492,720,534;8,337;1,860,070;109,751,700
5;0.9;9,918,526;8,927;8766531.732;283,506,741;7,200,219,554;7,698;1,851,733;107,891,630
6;0.85;9,909,599;8,423;8545016.161;274,740,209;6,916,712,813;7,086;1,844,035;106,039,897
7;0.8;9,901,176;7,921;8329515.155;266,195,193;6,641,972,603;6,501;1,836,949;104,195,861
8;0.76;9,893,255;7,519;8119855.115;257,865,678;6,375,777,410;6,021;1,830,448;102,358,912
9;0.74;9,885,736;7,315;7915789.192;249,745,823;6,117,911,733;5,714;1,824,428;100,528,463
10;0.73;9,878,421;7,211;7717006.697;241,830,034;5,868,165,910;5,496;1,818,713;98,704,036
11;0.77;9,871,210;7,601;7523291.195;234,113,027;5,626,335,876;5,652;1,813,217;96,885,323
12;0.85;9,863,609;8,384;7334144.52;226,589,736;5,392,222,849;6,082;1,807,566;95,072,105
13;0.99;9,855,225;9,757;7149181.022;219,255,591;5,165,633,114;6,905;1,801,484;93,264,540
14;1.15;9,845,468;11,322;6967905.459;212,106,410;4,946,377,522;7,817;1,794,578;91,463,056
15;1.33;9,834,146;13,079;6790139.094;205,138,505;4,734,271,112;8,810;1,786,761;89,668,478
16;1.51;9,821,067;14,830;6615715.605;198,348,366;4,529,132,608;9,746;1,777,951;87,881,717
17;1.67;9,806,237;16,376;6444610.485;191,732,650;4,330,784,242;10,500;1,768,204;86,103,766
18;1.78;9,789,861;17,426;6276925.13;185,288,039;4,139,051,592;10,900;1,757,705;84,335,562
